"","News_2016.publishedAt","News_2016.title"
"221","2016-09-28T18:40:59.000Z","NC Girl Brings Mtg to Tears Over Police Shooting"
"235","2016-03-31T19:55:34.000Z","Columbine School Shooting - Final Report Documentary - Columbine Massacre"
"236","2016-11-28T16:52:19.000Z","7 Sent To Hospital After Report Of Ohio State Active Shooter"
"243","2016-11-16T17:42:26.000Z","Officer Who Killed Philando Castile Charged With Involuntary Manslaughter"
"245","2016-06-14T18:46:49.000Z","Shooters Apartment Investigated By Univision"
"246","2016-07-25T14:10:32.000Z","2 Killed And 17 Shot At Florida Nightclub"
"248","2016-11-23T02:04:48.000Z","Wayne State University Officer Shot"
"251","2016-09-07T03:02:16.000Z","GVB: Blackhawk Christian sweeps Bishop Luers on 9/6/16"
"268","2016-12-09T17:45:59.000Z","Two Police Officers Killed In Rural Georgia Community"
"271","2016-02-12T01:26:32.000Z","Tamir Rice's Family Taken To Court Over $500 'Last Dying Expense'"
"275","2016-11-28T17:08:56.000Z","Ohio State Shooting Leaves 7 Hospitalized"
"278","2016-07-08T03:55:33.000Z","Feds Monitoring Minnesota Investigation Of Police Shooting of Philando Castile"
"287","2016-10-04T02:48:57.000Z","Family Of Police Victim Wants Cops To Be Charged"
"288","2016-06-11T15:59:59.000Z","'The Voice' Singer Christina Grimmie Shot And Killed"
"290","2016-11-29T01:32:41.000Z","Terrorism A Possibility In OSU Stabbing"
"291","2016-06-02T20:23:48.000Z","UCLA Shooter Sought to Kill Two Professors"
"296","2016-05-18T16:36:15.000Z","NYC Police Kill Knife-Wielding Man"
"300","2016-07-08T01:20:29.000Z","MN Police Union Says Much Unknown About Police Shooting"
"303","2016-12-01T14:57:29.000Z","Tacoma Police Officer Dies"
"311","2016-04-28T13:04:10.000Z","Saints Player Will Smith's Killer Could Be Indicted"
"323","2016-06-17T22:23:39.000Z","Woman Says Orlando Shooter Was A Stalker: ""He Wouldn't Leave Me Alone"""
"328","2016-06-04T01:17:06.000Z","UCLA Shooter Motives Are Still A Mystery?"
"330","2016-04-10T20:59:34.000Z","Suspect arrested in death of Saints player  Will Smith"
"332","2016-02-28T14:53:40.000Z","Virginia Officer Fatally Shot Day After Swearing-in"
"336","2016-11-16T18:59:09.000Z","Oklahoma Police Say Airport Shooter was Former Employee"
"338","2016-06-11T23:28:31.000Z","Gunman Travels To Orlando To Kill Singer"
"342","2016-12-17T17:45:11.000Z","Roof won't use mental health experts to try to save his life"
"343","2016-06-16T13:50:44.000Z","German PM Worried About Rising Homophobia"
"345","2016-05-26T20:10:38.000Z","NYPD Seek Shooter At T.I. Concert That Killed One"
"346","2016-07-30T15:01:06.000Z","Shooting In Washington Leaves Three Dead"
"348","2016-07-25T22:59:22.000Z","Mom Says Her Advice Didn't Work For Florida Shooting Victim"
"362","2016-08-18T19:35:40.000Z","Officer in Milwaukee Was Teenage Police Aide"
"364","2016-10-24T18:36:27.000Z","Suspect in Oklahoma Killings, Carjackings And Cop Shootings Is On The Run"
"365","2016-05-27T03:51:58.000Z","Update: NYC Rapper Arrested at T.I. Concert"
"366","2016-12-06T23:05:43.000Z","Mistrial In Shooting Of Walter Scott"
"367","2016-02-20T16:21:20.000Z","Brooklyn Shootout Injures Two NYPD Officers..."
"368","2016-09-23T23:33:54.000Z","Cops Kill 1 Bank Robber and Apprehend Another In Baltimore Robbery"
"371","2016-09-15T14:37:09.000Z","Officers In Ohio Kill Boy WIth BB Gun"
"372","2016-06-17T20:41:56.000Z","Mourners recall Charleston church victims at service"
"376","2016-07-21T21:05:45.000Z","Black Therapist Shot By Police With His Hands Raised"
"386","2016-09-15T15:41:10.000Z","Poker Games the Cause of Wyoming Shooting?"
"389","2016-06-16T15:41:45.000Z","Mateen Searched Facebook During Attack"
"391","2016-03-11T13:34:01.000Z","4/20/1999: Columbine Shooting"
"394","2016-10-25T15:49:38.000Z","Manhunt For Oklahoma Suspect"
"395","2016-09-23T23:53:25.000Z","Release Of Wife's Video In Scott Case Is A Search For The Truth"
"404","2016-11-05T13:45:48.000Z","Suspect Responsible For Shooting Two Cops Is Dead"
"405","2016-04-17T00:09:48.000Z","2 Maryland Firefighters Shot On Duty,1 Dead"
"410","2016-05-13T15:27:02.000Z","2 officers shot in New Hampshire; search on for shooter"
"418","2016-12-02T23:17:34.000Z","Marksman Kills Tacoma Shooter"
"419","2016-08-18T21:59:04.000Z","New York Muslims Struggle With Surveillance After Imam's Killing"
"422","2016-06-14T14:57:42.000Z","Was Islamic Jihad the Orlando Shooter's Only Motive?"
"426","2016-12-12T15:45:01.000Z","2 Georgia police officers shot, wounded serving warrant"
"427","2016-09-16T15:22:29.000Z","Authorities to Investigate Ohio Shooting of Teenage Boy"
"428","2016-09-14T16:38:38.000Z","Police Nab Suspect in North Carolina Officer Slaying"
"429","2016-07-29T19:33:01.000Z","San Diego Police In Stand Off"
"430","2016-02-05T18:10:40.000Z","NYPD Officer Listed As Stable After Public Housing Shooting"
"431","2016-11-22T14:54:13.000Z","Texas, Missouri, Florida Officers Shot"
"436","2016-05-06T18:12:11.000Z","Still No Answers In Pike County Killings"
"437","2016-07-29T17:45:38.000Z","San Diego Police Involved In Standoff"
"439","2016-05-16T19:42:51.000Z","Man Pleads Not Guilty for Two Police Shootings"
"440","2016-04-16T16:11:01.000Z","After Shooting, 1 Firefighter Dead & 1 Injured"
"441","2016-11-22T19:47:27.000Z","San Antonio Arrest Suspect for Fatal Cop Shooting"
"442","2016-07-18T14:54:42.000Z","Baton Rouge Gunman Used Online Alias To Post About Fighting Back"
"444","2016-11-23T15:09:01.000Z","Wayne State University Officer Recovering From Shooting"
"445","2016-05-13T11:55:06.000Z","2 Officers Shot In New Hampshire, Shooter At Large"
"446","2016-09-16T14:50:58.000Z","OH Authorities Promise Inquiry Into Boy's Shooting"
"447","2016-06-22T18:36:09.000Z","Grimmie Killer Was Obsessed With Her"
"448","2016-09-16T17:38:51.000Z","Friend Says Ohio Teenager Ran From Police Before Shooting"
"449","2016-07-18T15:10:01.000Z","Baton Rouge Police Killer Was Former Marine"
"451","2016-04-16T02:22:51.000Z","Fans Of Saints Will Smith Pay Homage"
"452","2016-09-14T18:02:35.000Z","Gazebo Where Tamir Rice Was Killed to Be Dismantled"
"453","2016-09-14T20:21:22.000Z","Gazebo Where Officer Killed Tamir Rice Gets Moved To Chicago"
"455","2016-04-25T14:56:57.000Z","Cleveland Settles Lawsuit Over Tamir Rice Shooting For $6M?"
"456","2016-07-28T20:56:53.000Z","Citizens Of Baton Rouge Come Together To Mourn Slain Officers"
"457","2016-10-11T12:30:00.000Z","19 Thomas and Friends Mega Bloks Percy James Gordon Henry Toby Diesel Rosie Salty Victor"
"458","2016-05-10T21:35:03.000Z","Prosecutors Weigh Charges in Kansas City Detective's Death"
"459","2016-04-11T18:26:35.000Z","Warrant Says Ex-NFL Player Was Shot in the Back and Torso"
"460","2016-04-28T21:15:22.000Z","Indictment Handed Down In Killing Of Former Saints Player"
"461","2016-07-18T13:19:44.000Z","Gunman's Motives ""Was On Police Officers"""
"462","2016-02-11T22:47:02.000Z","Oops, Sorry: Cleveland Mayor Apologizes for Billing Family of Tamir Rice"
"463","2016-03-09T08:52:34.000Z","Understaffed, Salinas PD steps up recruitment efforts"
"464","2016-03-17T06:46:12.000Z","Arrest warrant issued for Salinas man who escaped police standoff last month"
"465","2016-01-18T15:46:21.000Z","T.J. Duckett's 4-point play"
"466","2016-11-02T02:09:07.000Z","Hannah's Bandana - Rock School Performance at Shaka's (Oct 30 2016)"
"467","2016-02-13T19:29:43.000Z","FULL INTERVIEW   20 20 Diane Sawyer Sue Klebold Mother of Columbine Shooter Dylan   ABC   2/12/16"
"468","2016-07-20T21:37:36.000Z","NOROVIRUS OUTBREAK AT THE REPUBLICAN NATIONAL CONVENTION - RNC Bonus Video"
"469","2016-03-20T15:00:00.000Z","Sleeping Dogs - Part 20 - Shooting Tires"
"470","2016-03-03T08:25:47.000Z","North's Jacionna Stowers"
"471","2016-07-28T02:29:31.000Z","Cletus Eazy Drake and the Fire Trap - Shot from the Dark (Rap Instrumental... [Hip Hop / Rap]"
"472","2016-02-22T14:25:24.000Z","Ganon Baker Basketball Shooting Drill"
"473","2016-02-11T23:52:15.000Z","11/28/15 pre season Varsity Scrimmages  -#20 shooting guard"
"474","2016-12-01T11:00:02.000Z","Machine Gun Kelly, Camila Cabello - Bad Things"
"475","2016-03-30T19:20:20.000Z","20 Shooting correct position of the hands youtube"
"476","2016-08-18T20:19:52.000Z","Breaking Bad PD, New Mexico"
"478","2016-03-11T13:34:01.000Z","April 20, 1999: Eyewitness Accounts of Shooting"
"479","2016-07-08T13:51:06.000Z","Two suspects face judge after deadly Knox County shooting - June 20, 2016"
"480","2016-03-17T21:46:31.000Z","Big Sky WBB: IDAHO BUZZER-BEATER SENDS VANDALS TO SEMIFINALS"
"481","2016-09-28T10:45:30.000Z","Charlotte Residents Denounce Shooting At Town Meting"
"482","2016-01-03T00:00:11.000Z","Drue Drinnon Lights Up The Beach Ball Classic"
"483","2016-11-28T08:58:44.000Z","The Iron Maiden British infantry - Wave 2"
"484","2016-12-29T13:24:24.000Z","How to Get Clean Wheels Without Endless Scrubbing - Pneumatic Cleaning Gun - Eastwood"
"485","2016-04-23T05:48:01.000Z","Newtown Connecticut Shooting at an Elementary School"
"486","2016-05-21T19:14:22.000Z","M16 ELEKTRISCHE WASSERPISTOLE SUPER SOAKER - Besser als die Ak47 ???"
"487","2016-07-31T11:34:30.000Z","D.I.Y. DREAMCATCHERS // YO I'M JO ❤️"
"488","2016-03-31T00:18:11.000Z","#3 Winston Delk 2016 Point Guard Senior Year Highlights"
"489","2016-01-21T01:14:04.000Z","Connor Nally Catholic Central"
