"","comments_real","comments_2012","comments_2013","comments_2014","comments_2015","comments_2016","comments_2017"
"brother",6,0,9,1,8,13,15
"brotherhood",2,0,1,0,0,1,0
"brothers",1,0,0,1,3,4,3
"brought",3,0,10,7,10,18,19
"broward",9,0,0,0,0,0,0
"browards",1,0,0,0,0,0,0
"brown",2,0,2,1,1,1,3
"brudar",1,0,0,0,0,0,0
"bruh",5,0,0,1,3,23,32
"brutal",1,1,5,1,4,1,1
"brutally",1,1,0,0,1,1,1
"bryce",1,0,0,0,0,0,0
"btw",5,2,11,5,1,9,14
"buddy",2,0,7,2,0,5,1
"buh",7,0,0,0,0,0,1
"build",1,0,2,2,2,7,6
"building",5,0,7,3,16,42,75
"builds",4,0,1,0,0,1,0
"builled",1,0,0,0,0,0,0
"buleet",1,0,0,0,0,0,0
"bull",3,0,2,1,2,3,7
"bullet",20,0,14,4,10,30,50
"bulletnall",5,0,0,0,0,0,13
"bulletndaddy",1,0,0,0,0,0,2
"bullets",17,4,6,10,13,29,13
"bullett",2,0,0,0,0,0,0
"bullied",35,3,37,10,3,15,13
"bulliedavoided",1,0,0,0,0,0,0
"bulliednin",1,0,0,0,0,0,0
"bullies",9,0,17,3,1,10,7
"bullshit",9,1,28,15,13,31,20
"bullshittery",1,0,0,0,0,0,0
"bullshitðufu©",1,0,0,0,0,0,0
"bully",12,1,8,4,1,8,9
"bullying",25,2,32,14,5,21,20
"bullyingcyber",1,0,0,0,0,0,0
"bullyingnteasingnand",1,0,0,0,0,0,0
"bum",1,0,0,0,0,1,0
"bunch",2,2,10,14,17,39,32
"burglary",2,0,0,0,0,0,0
"burn",7,1,2,0,4,4,11
"burns",4,0,2,1,0,0,0
"bush",6,3,4,2,1,1,4
"businðµss",1,0,0,0,0,0,0
"bussâuus",1,0,0,0,0,0,0
"busy",2,0,2,3,1,1,4
"but",38,8,109,63,53,108,136
"butch",1,0,0,0,0,0,0
"butcher",1,0,0,0,0,0,0
"butchering",1,0,0,0,0,0,0
"butthole",1,0,0,0,0,0,0
"buy",38,2,64,36,20,26,11
"buying",5,1,6,7,5,2,1
"bwire",2,0,0,0,0,0,0
"bye",9,0,1,0,0,11,12
"bzone",1,0,0,0,0,0,0
"caanntt",1,0,0,0,0,0,0
"cabal",2,0,0,0,0,0,0
"caelan",1,0,0,0,0,0,0
"cafetera",1,0,0,0,0,0,0
"caim",1,0,0,0,0,0,0
"caitlin",1,0,0,0,0,0,0
"cake",1,0,1,0,0,0,1
"cal",1,0,1,2,1,0,2
"cali",1,0,0,0,0,0,0
"caliber",4,0,1,0,0,2,1
"california",2,0,4,8,2,7,5
"call",12,3,51,12,11,47,69
"called",28,1,42,15,18,58,56
"calling",7,0,9,3,6,10,11
"calls",3,0,3,4,2,5,5
"callum",3,0,0,0,0,0,0
"calm",4,0,10,3,3,13,22
"calmnmy",1,0,0,0,0,0,0
"calâuulisa",1,0,0,0,0,0,0
"came",11,4,30,13,27,116,153
"camera",1,0,5,1,0,16,15
"cameras",2,0,2,7,2,8,5
"camouflage",1,0,0,0,0,0,1
"campaign",1,0,1,0,0,0,2
"campaigns",1,0,0,0,0,0,0
"canada",10,3,44,13,13,49,31
"cancel",1,1,0,0,0,0,0
"cancelled",1,0,0,1,0,1,2
"cancer",2,0,1,2,1,3,3
"candace",1,0,0,0,0,0,0
"candy",2,1,2,1,3,4,4
"cannon",1,0,0,0,0,0,1
"cant",21,4,60,31,24,43,37
"canâuut",14,0,0,0,1,0,7
"capacity",4,0,8,4,1,0,0
"car",6,0,21,17,15,9,16
"card",4,0,1,0,0,2,0
"cardinal",1,0,0,0,0,0,0
"cards",1,0,0,0,0,0,3
"care",24,4,58,29,21,50,31
"cared",3,0,3,1,0,4,1
"cares",5,2,6,4,4,6,7
"cargotrucks",1,0,0,0,0,0,0
"caring",1,0,0,3,1,1,1
"carl",2,0,0,6,0,0,0
"carmeen",1,0,0,0,0,0,0
"carmen",3,0,0,0,0,0,0
"carnival",1,0,0,0,0,0,0
"carried",1,0,6,4,7,6,6
"carry",7,7,68,27,29,47,44
"carrying",4,2,13,4,5,6,4
"cars",5,2,16,14,8,12,23
"cartel",17,0,1,3,0,0,0
"cartels",20,0,3,2,8,1,0
"cartes",1,0,0,0,0,0,0
"case",10,4,34,15,19,59,44
"cases",2,0,18,6,8,5,4
"casings",1,0,0,0,0,0,0
"casino",1,0,0,0,0,0,0
"cassified",4,0,0,0,0,0,0
"cast",1,0,1,1,1,0,0
"casualties",2,1,7,3,0,10,1
"casulaties",1,0,0,0,0,0,0
"cat",2,0,3,0,0,1,4
"catch",1,0,5,1,6,6,8
"catholic",1,1,1,0,0,0,1
"cato",1,0,0,0,0,0,0
"catz",1,0,0,0,0,0,0
"caucasians",1,0,1,1,1,0,1
"caucusnnfact",1,0,0,0,0,0,0
"caught",6,0,8,10,9,13,14
"cause",25,3,86,20,30,99,88
"caused",5,1,21,13,5,4,6
